,id,Longitude,Latitude,Centroid,geometry,numbuildings
0,2007,102.14999999999995,22.449999999999942,102.15E_22.45N,"POLYGON ((102.09999999999994 22.499999999999943, 102.19999999999993 22.499999999999943, 102.19999999999993 22.39999999999994, 102.09999999999994 22.39999999999994, 102.09999999999994 22.499999999999943))",23
1,2008,102.14999999999995,22.349999999999945,102.15E_22.35N,"POLYGON ((102.09999999999994 22.39999999999994, 102.19999999999993 22.39999999999994, 102.19999999999993 22.29999999999994, 102.09999999999994 22.29999999999994, 102.09999999999994 22.39999999999994))",1
2,2009,102.14999999999995,22.24999999999994,102.15E_22.25N,"POLYGON ((102.09999999999994 22.29999999999994, 102.19999999999993 22.29999999999994, 102.19999999999993 22.19999999999994, 102.09999999999994 22.19999999999994, 102.09999999999994 22.29999999999994))",0
3,2187,102.24999999999994,22.54999999999994,102.25E_22.55N,"POLYGON ((102.19999999999993 22.59999999999994, 102.29999999999993 22.59999999999994, 102.29999999999993 22.49999999999994, 102.19999999999993 22.49999999999994, 102.19999999999993 22.59999999999994))",0
4,2188,102.24999999999994,22.449999999999942,102.25E_22.45N,"POLYGON ((102.19999999999993 22.499999999999943, 102.29999999999993 22.499999999999943, 102.29999999999993 22.39999999999994, 102.19999999999993 22.39999999999994, 102.19999999999993 22.499999999999943))",0
5,2189,102.24999999999994,22.349999999999945,102.25E_22.35N,"POLYGON ((102.19999999999993 22.39999999999994, 102.29999999999993 22.39999999999994, 102.29999999999993 22.29999999999994, 102.19999999999993 22.29999999999994, 102.19999999999993 22.39999999999994))",37
6,2190,102.24999999999994,22.24999999999994,102.25E_22.25N,"POLYGON ((102.19999999999993 22.29999999999994, 102.29999999999993 22.29999999999994, 102.29999999999993 22.19999999999994, 102.19999999999993 22.19999999999994, 102.19999999999993 22.29999999999994))",0
7,2367,102.34999999999994,22.649999999999938,102.35E_22.65N,"POLYGON ((102.29999999999993 22.69999999999994, 102.39999999999992 22.69999999999994, 102.39999999999992 22.599999999999937, 102.29999999999993 22.599999999999937, 102.29999999999993 22.69999999999994))",0
8,2368,102.34999999999994,22.54999999999994,102.35E_22.55N,"POLYGON ((102.29999999999993 22.59999999999994, 102.39999999999992 22.59999999999994, 102.39999999999992 22.49999999999994, 102.29999999999993 22.49999999999994, 102.29999999999993 22.59999999999994))",1
9,2369,102.34999999999994,22.449999999999942,102.35E_22.45N,"POLYGON ((102.29999999999993 22.499999999999943, 102.39999999999992 22.499999999999943, 102.39999999999992 22.39999999999994, 102.29999999999993 22.39999999999994, 102.29999999999993 22.499999999999943))",0
10,2370,102.34999999999994,22.349999999999945,102.35E_22.35N,"POLYGON ((102.29999999999993 22.39999999999994, 102.39999999999992 22.39999999999994, 102.39999999999992 22.29999999999994, 102.29999999999993 22.29999999999994, 102.29999999999993 22.39999999999994))",21
11,2371,102.34999999999994,22.24999999999994,102.35E_22.25N,"POLYGON ((102.29999999999993 22.29999999999994, 102.39999999999992 22.29999999999994, 102.39999999999992 22.19999999999994, 102.29999999999993 22.19999999999994, 102.29999999999993 22.29999999999994))",0
12,2372,102.34999999999994,22.14999999999994,102.35E_22.15N,"POLYGON ((102.29999999999993 22.199999999999942, 102.39999999999992 22.199999999999942, 102.39999999999992 22.09999999999994, 102.29999999999993 22.09999999999994, 102.29999999999993 22.199999999999942))",0
13,2547,102.4499999999999,22.74999999999994,102.45E_22.75N,"POLYGON ((102.39999999999992 22.79999999999994, 102.49999999999991 22.79999999999994, 102.49999999999991 22.69999999999994, 102.39999999999992 22.69999999999994, 102.39999999999992 22.79999999999994))",23
14,2548,102.4499999999999,22.649999999999938,102.45E_22.65N,"POLYGON ((102.39999999999992 22.69999999999994, 102.49999999999991 22.69999999999994, 102.49999999999991 22.599999999999937, 102.39999999999992 22.599999999999937, 102.39999999999992 22.69999999999994))",11
