,id,Longitude,Latitude,Centroid,geometry,numbuildings
15,2549,102.4499999999999,22.54999999999994,102.45E_22.55N,"POLYGON ((102.39999999999992 22.59999999999994, 102.49999999999991 22.59999999999994, 102.49999999999991 22.49999999999994, 102.39999999999992 22.49999999999994, 102.39999999999992 22.59999999999994))",0
16,2550,102.4499999999999,22.449999999999942,102.45E_22.45N,"POLYGON ((102.39999999999992 22.499999999999943, 102.49999999999991 22.499999999999943, 102.49999999999991 22.39999999999994, 102.39999999999992 22.39999999999994, 102.39999999999992 22.499999999999943))",0
17,2551,102.4499999999999,22.349999999999945,102.45E_22.35N,"POLYGON ((102.39999999999992 22.39999999999994, 102.49999999999991 22.39999999999994, 102.49999999999991 22.29999999999994, 102.39999999999992 22.29999999999994, 102.39999999999992 22.39999999999994))",0
18,2552,102.4499999999999,22.24999999999994,102.45E_22.25N,"POLYGON ((102.39999999999992 22.29999999999994, 102.49999999999991 22.29999999999994, 102.49999999999991 22.19999999999994, 102.39999999999992 22.19999999999994, 102.39999999999992 22.29999999999994))",0
19,2553,102.4499999999999,22.14999999999994,102.45E_22.15N,"POLYGON ((102.39999999999992 22.199999999999942, 102.49999999999991 22.199999999999942, 102.49999999999991 22.09999999999994, 102.39999999999992 22.09999999999994, 102.39999999999992 22.199999999999942))",96
20,2554,102.4499999999999,22.04999999999994,102.45E_22.05N,"POLYGON ((102.39999999999992 22.099999999999945, 102.49999999999991 22.099999999999945, 102.49999999999991 21.999999999999943, 102.39999999999992 21.999999999999943, 102.39999999999992 22.099999999999945))",0
21,2555,102.4499999999999,21.949999999999942,102.45E_21.95N,"POLYGON ((102.39999999999992 21.999999999999943, 102.49999999999991 21.999999999999943, 102.49999999999991 21.89999999999994, 102.39999999999992 21.89999999999994, 102.39999999999992 21.999999999999943))",0
22,2728,102.54999999999991,22.74999999999994,102.55E_22.75N,"POLYGON ((102.49999999999991 22.79999999999994, 102.59999999999991 22.79999999999994, 102.59999999999991 22.69999999999994, 102.49999999999991 22.69999999999994, 102.49999999999991 22.79999999999994))",0
23,2729,102.54999999999991,22.649999999999938,102.55E_22.65N,"POLYGON ((102.49999999999991 22.69999999999994, 102.59999999999991 22.69999999999994, 102.59999999999991 22.599999999999937, 102.49999999999991 22.599999999999937, 102.49999999999991 22.69999999999994))",9
24,2730,102.54999999999991,22.54999999999994,102.55E_22.55N,"POLYGON ((102.49999999999991 22.59999999999994, 102.59999999999991 22.59999999999994, 102.59999999999991 22.49999999999994, 102.49999999999991 22.49999999999994, 102.49999999999991 22.59999999999994))",19
25,2731,102.54999999999991,22.449999999999942,102.55E_22.45N,"POLYGON ((102.49999999999991 22.499999999999943, 102.59999999999991 22.499999999999943, 102.59999999999991 22.39999999999994, 102.49999999999991 22.39999999999994, 102.49999999999991 22.499999999999943))",0
26,2732,102.54999999999991,22.349999999999945,102.55E_22.35N,"POLYGON ((102.49999999999991 22.39999999999994, 102.59999999999991 22.39999999999994, 102.59999999999991 22.29999999999994, 102.49999999999991 22.29999999999994, 102.49999999999991 22.39999999999994))",0
27,2733,102.54999999999991,22.24999999999994,102.55E_22.25N,"POLYGON ((102.49999999999991 22.29999999999994, 102.59999999999991 22.29999999999994, 102.59999999999991 22.19999999999994, 102.49999999999991 22.19999999999994, 102.49999999999991 22.29999999999994))",0
28,2734,102.54999999999991,22.14999999999994,102.55E_22.15N,"POLYGON ((102.49999999999991 22.199999999999942, 102.59999999999991 22.199999999999942, 102.59999999999991 22.09999999999994, 102.49999999999991 22.09999999999994, 102.49999999999991 22.199999999999942))",1
29,2735,102.54999999999991,22.04999999999994,102.55E_22.05N,"POLYGON ((102.49999999999991 22.099999999999945, 102.59999999999991 22.099999999999945, 102.59999999999991 21.999999999999943, 102.49999999999991 21.999999999999943, 102.49999999999991 22.099999999999945))",0
30,2736,102.54999999999991,21.949999999999942,102.55E_21.95N,"POLYGON ((102.49999999999991 21.999999999999943, 102.59999999999991 21.999999999999943, 102.59999999999991 21.89999999999994, 102.49999999999991 21.89999999999994, 102.49999999999991 21.999999999999943))",0
31,2909,102.6499999999999,22.74999999999994,102.65E_22.75N,"POLYGON ((102.59999999999991 22.79999999999994, 102.6999999999999 22.79999999999994, 102.6999999999999 22.69999999999994, 102.59999999999991 22.69999999999994, 102.59999999999991 22.79999999999994))",0
32,2910,102.6499999999999,22.649999999999938,102.65E_22.65N,"POLYGON ((102.59999999999991 22.69999999999994, 102.6999999999999 22.69999999999994, 102.6999999999999 22.599999999999937, 102.59999999999991 22.599999999999937, 102.59999999999991 22.69999999999994))",0
33,2911,102.6499999999999,22.54999999999994,102.65E_22.55N,"POLYGON ((102.59999999999991 22.59999999999994, 102.6999999999999 22.59999999999994, 102.6999999999999 22.49999999999994, 102.59999999999991 22.49999999999994, 102.59999999999991 22.59999999999994))",0
34,2912,102.6499999999999,22.449999999999942,102.65E_22.45N,"POLYGON ((102.59999999999991 22.499999999999943, 102.6999999999999 22.499999999999943, 102.6999999999999 22.39999999999994, 102.59999999999991 22.39999999999994, 102.59999999999991 22.499999999999943))",11
35,2913,102.6499999999999,22.349999999999945,102.65E_22.35N,"POLYGON ((102.59999999999991 22.39999999999994, 102.6999999999999 22.39999999999994, 102.6999999999999 22.29999999999994, 102.59999999999991 22.29999999999994, 102.59999999999991 22.39999999999994))",21
36,2914,102.6499999999999,22.24999999999994,102.65E_22.25N,"POLYGON ((102.59999999999991 22.29999999999994, 102.6999999999999 22.29999999999994, 102.6999999999999 22.19999999999994, 102.59999999999991 22.19999999999994, 102.59999999999991 22.29999999999994))",6
37,2915,102.6499999999999,22.14999999999994,102.65E_22.15N,"POLYGON ((102.59999999999991 22.199999999999942, 102.6999999999999 22.199999999999942, 102.6999999999999 22.09999999999994, 102.59999999999991 22.09999999999994, 102.59999999999991 22.199999999999942))",0
38,2916,102.6499999999999,22.04999999999994,102.65E_22.05N,"POLYGON ((102.59999999999991 22.099999999999945, 102.6999999999999 22.099999999999945, 102.6999999999999 21.999999999999943, 102.59999999999991 21.999999999999943, 102.59999999999991 22.099999999999945))",0
39,2917,102.6499999999999,21.949999999999942,102.65E_21.95N,"POLYGON ((102.59999999999991 21.999999999999943, 102.6999999999999 21.999999999999943, 102.6999999999999 21.89999999999994, 102.59999999999991 21.89999999999994, 102.59999999999991 21.999999999999943))",0
40,2918,102.6499999999999,21.849999999999945,102.65E_21.85N,"POLYGON ((102.59999999999991 21.89999999999994, 102.6999999999999 21.89999999999994, 102.6999999999999 21.79999999999994, 102.59999999999991 21.79999999999994, 102.59999999999991 21.89999999999994))",0
41,2919,102.6499999999999,21.749999999999943,102.65E_21.75N,"POLYGON ((102.59999999999991 21.799999999999944, 102.6999999999999 21.799999999999944, 102.6999999999999 21.699999999999942, 102.59999999999991 21.699999999999942, 102.59999999999991 21.799999999999944))",0
42,2920,102.6499999999999,21.649999999999945,102.65E_21.65N,"POLYGON ((102.59999999999991 21.699999999999946, 102.6999999999999 21.699999999999946, 102.6999999999999 21.599999999999945, 102.59999999999991 21.599999999999945, 102.59999999999991 21.699999999999946))",0
43,3091,102.7499999999999,22.649999999999938,102.75E_22.65N,"POLYGON ((102.6999999999999 22.69999999999994, 102.7999999999999 22.69999999999994, 102.7999999999999 22.599999999999937, 102.6999999999999 22.599999999999937, 102.6999999999999 22.69999999999994))",0
44,3092,102.7499999999999,22.54999999999994,102.75E_22.55N,"POLYGON ((102.6999999999999 22.59999999999994, 102.7999999999999 22.59999999999994, 102.7999999999999 22.49999999999994, 102.6999999999999 22.49999999999994, 102.6999999999999 22.59999999999994))",0
45,3093,102.7499999999999,22.449999999999942,102.75E_22.45N,"POLYGON ((102.6999999999999 22.499999999999943, 102.7999999999999 22.499999999999943, 102.7999999999999 22.39999999999994, 102.6999999999999 22.39999999999994, 102.6999999999999 22.499999999999943))",0
46,3094,102.7499999999999,22.349999999999945,102.75E_22.35N,"POLYGON ((102.6999999999999 22.39999999999994, 102.7999999999999 22.39999999999994, 102.7999999999999 22.29999999999994, 102.6999999999999 22.29999999999994, 102.6999999999999 22.39999999999994))",1
47,3095,102.7499999999999,22.24999999999994,102.75E_22.25N,"POLYGON ((102.6999999999999 22.29999999999994, 102.7999999999999 22.29999999999994, 102.7999999999999 22.19999999999994, 102.6999999999999 22.19999999999994, 102.6999999999999 22.29999999999994))",0
48,3096,102.7499999999999,22.14999999999994,102.75E_22.15N,"POLYGON ((102.6999999999999 22.199999999999942, 102.7999999999999 22.199999999999942, 102.7999999999999 22.09999999999994, 102.6999999999999 22.09999999999994, 102.6999999999999 22.199999999999942))",0
49,3097,102.7499999999999,22.04999999999994,102.75E_22.05N,"POLYGON ((102.6999999999999 22.099999999999945, 102.7999999999999 22.099999999999945, 102.7999999999999 21.999999999999943, 102.6999999999999 21.999999999999943, 102.6999999999999 22.099999999999945))",0
50,3098,102.7499999999999,21.949999999999942,102.75E_21.95N,"POLYGON ((102.6999999999999 21.999999999999943, 102.7999999999999 21.999999999999943, 102.7999999999999 21.89999999999994, 102.6999999999999 21.89999999999994, 102.6999999999999 21.999999999999943))",0
51,3099,102.7499999999999,21.849999999999945,102.75E_21.85N,"POLYGON ((102.6999999999999 21.89999999999994, 102.7999999999999 21.89999999999994, 102.7999999999999 21.79999999999994, 102.6999999999999 21.79999999999994, 102.6999999999999 21.89999999999994))",0
52,3100,102.7499999999999,21.749999999999943,102.75E_21.75N,"POLYGON ((102.6999999999999 21.799999999999944, 102.7999999999999 21.799999999999944, 102.7999999999999 21.699999999999942, 102.6999999999999 21.699999999999942, 102.6999999999999 21.799999999999944))",0
53,3101,102.7499999999999,21.649999999999945,102.75E_21.65N,"POLYGON ((102.6999999999999 21.699999999999946, 102.7999999999999 21.699999999999946, 102.7999999999999 21.599999999999945, 102.6999999999999 21.599999999999945, 102.6999999999999 21.699999999999946))",0
54,3272,102.8499999999999,22.649999999999938,102.85E_22.65N,"POLYGON ((102.7999999999999 22.69999999999994, 102.89999999999989 22.69999999999994, 102.89999999999989 22.599999999999937, 102.7999999999999 22.599999999999937, 102.7999999999999 22.69999999999994))",0
55,3273,102.8499999999999,22.54999999999994,102.85E_22.55N,"POLYGON ((102.7999999999999 22.59999999999994, 102.89999999999989 22.59999999999994, 102.89999999999989 22.49999999999994, 102.7999999999999 22.49999999999994, 102.7999999999999 22.59999999999994))",11
56,3274,102.8499999999999,22.449999999999942,102.85E_22.45N,"POLYGON ((102.7999999999999 22.499999999999943, 102.89999999999989 22.499999999999943, 102.89999999999989 22.39999999999994, 102.7999999999999 22.39999999999994, 102.7999999999999 22.499999999999943))",6
57,3275,102.8499999999999,22.349999999999945,102.85E_22.35N,"POLYGON ((102.7999999999999 22.39999999999994, 102.89999999999989 22.39999999999994, 102.89999999999989 22.29999999999994, 102.7999999999999 22.29999999999994, 102.7999999999999 22.39999999999994))",68
58,3276,102.8499999999999,22.24999999999994,102.85E_22.25N,"POLYGON ((102.7999999999999 22.29999999999994, 102.89999999999989 22.29999999999994, 102.89999999999989 22.19999999999994, 102.7999999999999 22.19999999999994, 102.7999999999999 22.29999999999994))",15
59,3277,102.8499999999999,22.14999999999994,102.85E_22.15N,"POLYGON ((102.7999999999999 22.199999999999942, 102.89999999999989 22.199999999999942, 102.89999999999989 22.09999999999994, 102.7999999999999 22.09999999999994, 102.7999999999999 22.199999999999942))",0
60,3278,102.8499999999999,22.04999999999994,102.85E_22.05N,"POLYGON ((102.7999999999999 22.099999999999945, 102.89999999999989 22.099999999999945, 102.89999999999989 21.999999999999943, 102.7999999999999 21.999999999999943, 102.7999999999999 22.099999999999945))",0
61,3279,102.8499999999999,21.949999999999942,102.85E_21.95N,"POLYGON ((102.7999999999999 21.999999999999943, 102.89999999999989 21.999999999999943, 102.89999999999989 21.89999999999994, 102.7999999999999 21.89999999999994, 102.7999999999999 21.999999999999943))",0
62,3280,102.8499999999999,21.849999999999945,102.85E_21.85N,"POLYGON ((102.7999999999999 21.89999999999994, 102.89999999999989 21.89999999999994, 102.89999999999989 21.79999999999994, 102.7999999999999 21.79999999999994, 102.7999999999999 21.89999999999994))",18
63,3281,102.8499999999999,21.749999999999943,102.85E_21.75N,"POLYGON ((102.7999999999999 21.799999999999944, 102.89999999999989 21.799999999999944, 102.89999999999989 21.699999999999942, 102.7999999999999 21.699999999999942, 102.7999999999999 21.799999999999944))",10
64,3284,102.8499999999999,21.449999999999942,102.85E_21.45N,"POLYGON ((102.7999999999999 21.499999999999943, 102.89999999999989 21.499999999999943, 102.89999999999989 21.39999999999994, 102.7999999999999 21.39999999999994, 102.7999999999999 21.499999999999943))",0
65,3285,102.8499999999999,21.349999999999945,102.85E_21.35N,"POLYGON ((102.7999999999999 21.399999999999945, 102.89999999999989 21.399999999999945, 102.89999999999989 21.299999999999944, 102.7999999999999 21.299999999999944, 102.7999999999999 21.399999999999945))",0
66,3286,102.8499999999999,21.249999999999947,102.85E_21.25N,"POLYGON ((102.7999999999999 21.299999999999947, 102.89999999999989 21.299999999999947, 102.89999999999989 21.199999999999946, 102.7999999999999 21.199999999999946, 102.7999999999999 21.299999999999947))",7
67,3454,102.94999999999989,22.54999999999994,102.95E_22.55N,"POLYGON ((102.89999999999989 22.59999999999994, 102.99999999999989 22.59999999999994, 102.99999999999989 22.49999999999994, 102.89999999999989 22.49999999999994, 102.89999999999989 22.59999999999994))",0
68,3455,102.94999999999989,22.449999999999942,102.95E_22.45N,"POLYGON ((102.89999999999989 22.499999999999943, 102.99999999999989 22.499999999999943, 102.99999999999989 22.39999999999994, 102.89999999999989 22.39999999999994, 102.89999999999989 22.499999999999943))",0
69,3456,102.94999999999989,22.349999999999945,102.95E_22.35N,"POLYGON ((102.89999999999989 22.39999999999994, 102.99999999999989 22.39999999999994, 102.99999999999989 22.29999999999994, 102.89999999999989 22.29999999999994, 102.89999999999989 22.39999999999994))",22
70,3457,102.94999999999989,22.24999999999994,102.95E_22.25N,"POLYGON ((102.89999999999989 22.29999999999994, 102.99999999999989 22.29999999999994, 102.99999999999989 22.19999999999994, 102.89999999999989 22.19999999999994, 102.89999999999989 22.29999999999994))",0
71,3458,102.94999999999989,22.14999999999994,102.95E_22.15N,"POLYGON ((102.89999999999989 22.199999999999942, 102.99999999999989 22.199999999999942, 102.99999999999989 22.09999999999994, 102.89999999999989 22.09999999999994, 102.89999999999989 22.199999999999942))",3
72,3459,102.94999999999989,22.04999999999994,102.95E_22.05N,"POLYGON ((102.89999999999989 22.099999999999945, 102.99999999999989 22.099999999999945, 102.99999999999989 21.999999999999943, 102.89999999999989 21.999999999999943, 102.89999999999989 22.099999999999945))",0
73,3460,102.94999999999989,21.949999999999942,102.95E_21.95N,"POLYGON ((102.89999999999989 21.999999999999943, 102.99999999999989 21.999999999999943, 102.99999999999989 21.89999999999994, 102.89999999999989 21.89999999999994, 102.89999999999989 21.999999999999943))",0
74,3461,102.94999999999989,21.849999999999945,102.95E_21.85N,"POLYGON ((102.89999999999989 21.89999999999994, 102.99999999999989 21.89999999999994, 102.99999999999989 21.79999999999994, 102.89999999999989 21.79999999999994, 102.89999999999989 21.89999999999994))",0
75,3462,102.94999999999989,21.749999999999943,102.95E_21.75N,"POLYGON ((102.89999999999989 21.799999999999944, 102.99999999999989 21.799999999999944, 102.99999999999989 21.699999999999942, 102.89999999999989 21.699999999999942, 102.89999999999989 21.799999999999944))",1
76,3463,102.94999999999989,21.649999999999945,102.95E_21.65N,"POLYGON ((102.89999999999989 21.699999999999946, 102.99999999999989 21.699999999999946, 102.99999999999989 21.599999999999945, 102.89999999999989 21.599999999999945, 102.89999999999989 21.699999999999946))",1
77,3464,102.94999999999989,21.549999999999944,102.95E_21.55N,"POLYGON ((102.89999999999989 21.599999999999945, 102.99999999999989 21.599999999999945, 102.99999999999989 21.499999999999943, 102.89999999999989 21.499999999999943, 102.89999999999989 21.599999999999945))",0
78,3465,102.94999999999989,21.449999999999942,102.95E_21.45N,"POLYGON ((102.89999999999989 21.499999999999943, 102.99999999999989 21.499999999999943, 102.99999999999989 21.39999999999994, 102.89999999999989 21.39999999999994, 102.89999999999989 21.499999999999943))",0
79,3466,102.94999999999989,21.349999999999945,102.95E_21.35N,"POLYGON ((102.89999999999989 21.399999999999945, 102.99999999999989 21.399999999999945, 102.99999999999989 21.299999999999944, 102.89999999999989 21.299999999999944, 102.89999999999989 21.399999999999945))",0
80,3467,102.94999999999989,21.249999999999947,102.95E_21.25N,"POLYGON ((102.89999999999989 21.299999999999947, 102.99999999999989 21.299999999999947, 102.99999999999989 21.199999999999946, 102.89999999999989 21.199999999999946, 102.89999999999989 21.299999999999947))",16
81,3468,102.94999999999989,21.149999999999945,102.95E_21.15N,"POLYGON ((102.89999999999989 21.199999999999946, 102.99999999999989 21.199999999999946, 102.99999999999989 21.099999999999945, 102.89999999999989 21.099999999999945, 102.89999999999989 21.199999999999946))",8
82,3469,102.94999999999989,21.049999999999944,102.95E_21.05N,"POLYGON ((102.89999999999989 21.099999999999945, 102.99999999999989 21.099999999999945, 102.99999999999989 20.999999999999943, 102.89999999999989 20.999999999999943, 102.89999999999989 21.099999999999945))",0
83,3635,103.04999999999988,22.54999999999994,103.05E_22.55N,"POLYGON ((102.99999999999989 22.59999999999994, 103.09999999999988 22.59999999999994, 103.09999999999988 22.49999999999994, 102.99999999999989 22.49999999999994, 102.99999999999989 22.59999999999994))",0
84,3636,103.04999999999988,22.449999999999942,103.05E_22.45N,"POLYGON ((102.99999999999989 22.499999999999943, 103.09999999999988 22.499999999999943, 103.09999999999988 22.39999999999994, 102.99999999999989 22.39999999999994, 102.99999999999989 22.499999999999943))",0
85,3637,103.04999999999988,22.349999999999945,103.05E_22.35N,"POLYGON ((102.99999999999989 22.39999999999994, 103.09999999999988 22.39999999999994, 103.09999999999988 22.29999999999994, 102.99999999999989 22.29999999999994, 102.99999999999989 22.39999999999994))",0
86,3638,103.04999999999988,22.24999999999994,103.05E_22.25N,"POLYGON ((102.99999999999989 22.29999999999994, 103.09999999999988 22.29999999999994, 103.09999999999988 22.19999999999994, 102.99999999999989 22.19999999999994, 102.99999999999989 22.29999999999994))",0
87,3639,103.04999999999988,22.14999999999994,103.05E_22.15N,"POLYGON ((102.99999999999989 22.199999999999942, 103.09999999999988 22.199999999999942, 103.09999999999988 22.09999999999994, 102.99999999999989 22.09999999999994, 102.99999999999989 22.199999999999942))",93
88,3640,103.04999999999988,22.04999999999994,103.05E_22.05N,"POLYGON ((102.99999999999989 22.099999999999945, 103.09999999999988 22.099999999999945, 103.09999999999988 21.999999999999943, 102.99999999999989 21.999999999999943, 102.99999999999989 22.099999999999945))",0
89,3641,103.04999999999988,21.949999999999942,103.05E_21.95N,"POLYGON ((102.99999999999989 21.999999999999943, 103.09999999999988 21.999999999999943, 103.09999999999988 21.89999999999994, 102.99999999999989 21.89999999999994, 102.99999999999989 21.999999999999943))",0
90,3642,103.04999999999988,21.849999999999945,103.05E_21.85N,"POLYGON ((102.99999999999989 21.89999999999994, 103.09999999999988 21.89999999999994, 103.09999999999988 21.79999999999994, 102.99999999999989 21.79999999999994, 102.99999999999989 21.89999999999994))",0
91,3643,103.04999999999988,21.749999999999943,103.05E_21.75N,"POLYGON ((102.99999999999989 21.799999999999944, 103.09999999999988 21.799999999999944, 103.09999999999988 21.699999999999942, 102.99999999999989 21.699999999999942, 102.99999999999989 21.799999999999944))",46
92,3644,103.04999999999988,21.649999999999945,103.05E_21.65N,"POLYGON ((102.99999999999989 21.699999999999946, 103.09999999999988 21.699999999999946, 103.09999999999988 21.599999999999945, 102.99999999999989 21.599999999999945, 102.99999999999989 21.699999999999946))",1
93,3645,103.04999999999988,21.549999999999944,103.05E_21.55N,"POLYGON ((102.99999999999989 21.599999999999945, 103.09999999999988 21.599999999999945, 103.09999999999988 21.499999999999943, 102.99999999999989 21.499999999999943, 102.99999999999989 21.599999999999945))",0
94,3646,103.04999999999988,21.449999999999942,103.05E_21.45N,"POLYGON ((102.99999999999989 21.499999999999943, 103.09999999999988 21.499999999999943, 103.09999999999988 21.39999999999994, 102.99999999999989 21.39999999999994, 102.99999999999989 21.499999999999943))",2
95,3647,103.04999999999988,21.349999999999945,103.05E_21.35N,"POLYGON ((102.99999999999989 21.399999999999945, 103.09999999999988 21.399999999999945, 103.09999999999988 21.299999999999944, 102.99999999999989 21.299999999999944, 102.99999999999989 21.399999999999945))",13
96,3648,103.04999999999988,21.249999999999947,103.05E_21.25N,"POLYGON ((102.99999999999989 21.299999999999947, 103.09999999999988 21.299999999999947, 103.09999999999988 21.199999999999946, 102.99999999999989 21.199999999999946, 102.99999999999989 21.299999999999947))",0
97,3649,103.04999999999988,21.149999999999945,103.05E_21.15N,"POLYGON ((102.99999999999989 21.199999999999946, 103.09999999999988 21.199999999999946, 103.09999999999988 21.099999999999945, 102.99999999999989 21.099999999999945, 102.99999999999989 21.199999999999946))",0
98,3650,103.04999999999988,21.049999999999944,103.05E_21.05N,"POLYGON ((102.99999999999989 21.099999999999945, 103.09999999999988 21.099999999999945, 103.09999999999988 20.999999999999943, 102.99999999999989 20.999999999999943, 102.99999999999989 21.099999999999945))",0
99,3651,103.04999999999988,20.949999999999942,103.05E_20.95N,"POLYGON ((102.99999999999989 20.999999999999947, 103.09999999999988 20.999999999999947, 103.09999999999988 20.899999999999945, 102.99999999999989 20.899999999999945, 102.99999999999989 20.999999999999947))",0
100,3815,103.14999999999988,22.649999999999938,103.15E_22.65N,"POLYGON ((103.09999999999988 22.69999999999994, 103.19999999999987 22.69999999999994, 103.19999999999987 22.599999999999937, 103.09999999999988 22.599999999999937, 103.09999999999988 22.69999999999994))",16
101,3816,103.14999999999988,22.54999999999994,103.15E_22.55N,"POLYGON ((103.09999999999988 22.59999999999994, 103.19999999999987 22.59999999999994, 103.19999999999987 22.49999999999994, 103.09999999999988 22.49999999999994, 103.09999999999988 22.59999999999994))",0
102,3817,103.14999999999988,22.449999999999942,103.15E_22.45N,"POLYGON ((103.09999999999988 22.499999999999943, 103.19999999999987 22.499999999999943, 103.19999999999987 22.39999999999994, 103.09999999999988 22.39999999999994, 103.09999999999988 22.499999999999943))",7
103,3818,103.14999999999988,22.349999999999945,103.15E_22.35N,"POLYGON ((103.09999999999988 22.39999999999994, 103.19999999999987 22.39999999999994, 103.19999999999987 22.29999999999994, 103.09999999999988 22.29999999999994, 103.09999999999988 22.39999999999994))",0
104,3819,103.14999999999988,22.24999999999994,103.15E_22.25N,"POLYGON ((103.09999999999988 22.29999999999994, 103.19999999999987 22.29999999999994, 103.19999999999987 22.19999999999994, 103.09999999999988 22.19999999999994, 103.09999999999988 22.29999999999994))",0
105,3820,103.14999999999988,22.14999999999994,103.15E_22.15N,"POLYGON ((103.09999999999988 22.199999999999942, 103.19999999999987 22.199999999999942, 103.19999999999987 22.09999999999994, 103.09999999999988 22.09999999999994, 103.09999999999988 22.199999999999942))",0
106,3821,103.14999999999988,22.04999999999994,103.15E_22.05N,"POLYGON ((103.09999999999988 22.099999999999945, 103.19999999999987 22.099999999999945, 103.19999999999987 21.999999999999943, 103.09999999999988 21.999999999999943, 103.09999999999988 22.099999999999945))",158
107,3822,103.14999999999988,21.949999999999942,103.15E_21.95N,"POLYGON ((103.09999999999988 21.999999999999943, 103.19999999999987 21.999999999999943, 103.19999999999987 21.89999999999994, 103.09999999999988 21.89999999999994, 103.09999999999988 21.999999999999943))",8
108,3823,103.14999999999988,21.849999999999945,103.15E_21.85N,"POLYGON ((103.09999999999988 21.89999999999994, 103.19999999999987 21.89999999999994, 103.19999999999987 21.79999999999994, 103.09999999999988 21.79999999999994, 103.09999999999988 21.89999999999994))",0
109,3824,103.14999999999988,21.749999999999943,103.15E_21.75N,"POLYGON ((103.09999999999988 21.799999999999944, 103.19999999999987 21.799999999999944, 103.19999999999987 21.699999999999942, 103.09999999999988 21.699999999999942, 103.09999999999988 21.799999999999944))",0
