index,grid_point_id,IWI,total_buildings,with_coast,coast_length,mean_altitude,mean_slope
0,355,86.0,0,1,224.97654197908545,0.0,0.0
9,409,71.4,0,1,9835.966285442626,0.0,0.0
18,456,86.0,213,1,30905.368529732736,0.0,0.0
27,510,71.4,0,1,19870.17673134999,0.0,0.0
36,511,71.4,0,1,32765.24831278304,0.0,0.0
45,558,86.0,0,1,1127.174595940554,0.0,2.4999028595319253
54,560,86.0,0,1,19185.921640915,0.0,2.4999028595319253
63,561,76.1,332,1,21225.90022385432,0.0,0.0
72,562,76.1,233,1,21374.012317247587,0.0,0.0
81,611,71.4,0,1,11643.85644429023,0.0,0.0
90,612,71.4,0,1,17374.49884307607,0.0,0.0
99,658,86.0,76,1,29712.08111883201,0.0,0.0
108,659,86.0,334,1,34539.391946323485,0.0,0.0
117,660,86.0,476,1,47631.31908705097,0.0,0.0
126,663,76.1,349,1,10718.66492565185,0.0030864197530864,0.0
135,664,76.1,1125,1,40588.70483074136,4.110339506172839,7.936014041379929
144,665,76.1,16,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
153,758,86.0,163,1,42090.75975067377,0.0,0.0
162,759,86.0,755,1,57019.3406746135,0.0,0.0
171,762,86.0,131,1,8588.639827536908,1.839506172839506,4.175944244544002
180,763,86.0,0,1,1360.1707227742536,17.513513513513512,26.994173480806293
189,764,86.0,85,1,2931.46170765798,7.615919629057187,11.18839845397457
198,765,86.0,42,1,7949.855263352958,0.0802469135802469,0.7193932572292869
207,766,76.1,375,1,17080.128059362472,0.0054012345679012,0.0798325464478417
216,767,76.1,377,1,27724.29137064031,0.0,0.0
225,768,76.1,46,1,16600.86648488231,0.2345679012345679,0.7116744234781163
234,857,86.0,121,1,6440.765025982077,0.0,0.0
243,858,86.0,737,1,83831.88011659001,0.0,0.0
252,859,86.0,13,1,23038.66972040194,0.0,0.0
261,865,86.0,453,1,25127.24869546791,21.228571428571428,38.70900096451067
270,866,86.0,437,1,21549.321578858915,0.6301158301158302,4.7459574388060775
279,867,86.0,2978,1,28471.328519431496,0.3961389961389961,3.117777539410625
288,868,86.0,240,0,0.0,0.0,0.0
297,869,76.1,1056,1,16825.768545693267,0.0,0.0
306,870,76.1,26,1,22494.57982551627,0.0,0.0
315,957,86.0,0,1,7600.652337537773,0.0,0.0
324,958,86.0,266,1,100168.46877689529,0.0,0.0
333,959,86.0,136,1,23332.792675807057,0.0,0.0
342,965,86.0,548,1,35925.5718296691,218.2993827160494,77.3804789576253
351,966,86.0,15721,1,24414.71169033932,110.06095679012346,70.80405400739119
360,967,86.0,7267,1,21479.077216649883,23.22067901234568,40.99217006863761
369,968,86.0,3585,0,0.0,76.91274131274132,56.60428016640589
378,969,86.0,50,0,0.0,0.4151234567901234,4.685228479543089
387,970,76.1,8,0,0.0,0.0,0.0
396,971,76.1,987,1,32040.678534357125,0.0,0.0
405,1057,86.0,5,1,15732.468343598808,0.0,0.0
414,1058,86.0,382,1,66202.0648166413,0.0,0.0
423,1059,86.0,0,1,7075.52772490391,0.0,0.0
432,1065,86.0,230,1,6392.944042719762,116.37422839506172,74.44208835779831
441,1066,86.0,1769,1,26680.85253530575,228.03240740740745,77.77826842783509
450,1067,86.0,479,0,0.0,310.1759259259259,79.85409324734945
459,1068,86.0,450,0,0.0,151.38966049382717,75.34837916943488
468,1069,86.0,82,0,0.0,407.5987654320988,80.72399590583794
477,1070,86.0,101,0,0.0,84.14440154440155,59.97714862371519
486,1071,76.1,674,0,0.0,0.3305019305019305,1.5924815907655698
495,1072,76.1,2606,1,47668.48634365219,0.0,0.0
504,1166,86.0,1256,1,72010.63809510144,251.820987654321,80.41985251210764
513,1167,86.0,5379,1,35507.06285370387,228.21682098765436,79.24968156208321
522,1168,86.0,155,0,0.0,418.0439814814815,79.67572034689361
531,1169,86.0,166,0,0.0,522.8603395061729,79.23256271052404
540,1170,86.0,2,0,0.0,355.99228395061726,80.37434982050553
549,1171,86.0,44,0,0.0,122.94135802469135,69.34973778598841
558,1172,76.1,26,0,0.0,5.422839506172839,22.82878905013693
567,1173,76.1,575,1,12612.696525196556,0.0,0.0
576,1174,76.1,172,1,7028.532283937967,0.0,0.0
585,1176,76.1,1,1,8095.178768605992,0.0,0.0
594,1177,76.1,433,1,41431.269589159725,0.0,0.0
603,1178,76.1,0,1,933.8326004729596,0.0,0.0
612,1259,86.0,0,1,4420.409142022699,0.0,0.0
621,1266,86.0,1,1,22080.189478761185,307.97067901234567,80.49406118282789
630,1267,86.0,1689,1,34086.5698507546,489.1967592592592,82.06212700899448
639,1268,86.0,2414,0,0.0,168.45679012345678,78.34179212824526
648,1269,86.0,193,0,0.0,133.56327160493828,74.77341934054269
657,1270,86.0,682,0,0.0,433.4212962962963,80.39810074954651
666,1271,86.0,270,0,0.0,192.56095679012347,77.40539584045688
675,1272,76.1,165,0,0.0,108.48533950617283,66.4097085644349
684,1273,78.4,0,0,0.0,60.310956790123456,49.75531327391487
693,1274,78.4,3,0,0.0,0.3672839506172839,1.947865709392767
702,1275,78.4,690,1,20457.131542282896,0.0,0.0
711,1367,86.0,6,1,16572.15405561314,282.016975308642,78.99010916896412
720,1368,86.0,2261,1,38886.12537673976,488.1612654320988,81.51625704879865
729,1369,86.0,1120,0,0.0,345.3595679012346,80.694383278824
738,1370,86.0,68,0,0.0,380.891975308642,81.01285603691562
747,1371,86.0,624,0,0.0,448.3109567901234,81.59113003613487
756,1372,86.0,572,0,0.0,386.36188271604937,81.83188059305282
765,1373,78.4,324,0,0.0,347.0601851851852,79.56019188576073
774,1374,78.4,10,0,0.0,53.178378378378376,54.02994835419079
783,1375,78.4,142,0,0.0,4.079475308641976,4.642045650151634
792,1376,78.4,978,1,26145.77440414907,0.0,0.0
801,1469,86.0,770,1,22645.678721039218,430.44058641975306,81.44434214282109
810,1470,86.0,240,0,0.0,572.1234567901234,82.14699644422402
