id,ADM1_FR,ADM1_PCODE,ADM1_EN,ADM2_EN,ADM2_PCODE
870,SUD-EST,HT02,South-East,COTES DE FER,HT0222
236,GRANDE'ANSE,HT08,Grande'Anse,DAME MARIE,HT0822
1375,SUD-EST,HT02,South-East,ANSE-A-PITRE,HT0234
951,OUEST,HT01,West,GRAND-GOAVE,HT0123
530,GRANDE'ANSE,HT08,Grande'Anse,PESTEL,HT0834
825,OUEST,HT01,West,PETIT-GOAVE,HT0122
659,SUD,HT07,South,SAINT LOUIS DU SUD,HT0732
577,SUD,HT07,South,ILE A VACHE,HT0716
1118,OUEST,HT01,West,PORT-AU-PRINCE,HT0111
909,OUEST,HT01,West,PETIT-GOAVE,HT0122
1076,OUEST,HT01,West,CARREFOUR,HT0113
822,OUEST,HT01,West,POINTE A RAQUETTE,HT0152
1106,NORD,HT03,North,ACUL DU NORD,HT0321
1034,OUEST,HT01,West,GRESSIER,HT0116
365,SUD,HT07,South,CHARDONNIERES,HT0751
1117,OUEST,HT01,West,CROIX-DES-BOUQUETS,HT0131
319,GRANDE'ANSE,HT08,Grande'Anse,BONBON,HT0813
856,ARTIBONITE,HT05,Artibonite,ANSE ROUGE,HT0523
977,NORD-OUEST,HT09,North-West,LA TORTUE,HT0912
905,OUEST,HT01,West,ANSE A GALETS,HT0151
992,OUEST,HT01,West,LEOGANE,HT0121
852,NORD-OUEST,HT09,North-West,PORT-DE-PAIX,HT0911
1329,OUEST,HT01,West,FONDS-VERRETTES,HT0135
768,NORD-OUEST,HT09,North-West,JEAN RABEL,HT0934
936,NORD-OUEST,HT09,North-West,SAINT-LOUIS DU NORD,HT0921
1405,CENTRE,HT06,Centre,CERCA LA SOURCE,HT0641
572,NIPPES,HT10,Nippes,GRAND-BOUCAN,HT1032
1190,NORD,HT03,North,QUARTIER MORIN,HT0312
238,GRANDE'ANSE,HT08,Grande'Anse,LES IROIS,HT0823
810,NORD-OUEST,HT09,North-West,JEAN RABEL,HT0934
946,ARTIBONITE,HT05,Artibonite,SAINT-MARC,HT0531
1274,NORD-EST,HT04,North-East,CARACOL,HT0434
1232,NORD,HT03,North,LIMONADE,HT0313
851,NORD-OUEST,HT09,North-West,LA TORTUE,HT0912
820,OUEST,HT01,West,ANSE A GALETS,HT0151
645,NORD-OUEST,HT09,North-West,BOMBARDOPOLIS,HT0933
614,NIPPES,HT10,Nippes,PETIT TROU DE NIPPES,HT1022
1032,OUEST,HT01,West,ARCAHAIE,HT0141
1366,CENTRE,HT06,Centre,BELLADERE,HT0632
828,SUD,HT07,South,AQUIN,HT0731
656,NIPPES,HT10,Nippes,PETIT TROU DE NIPPES,HT1022
1038,SUD-EST,HT02,South-East,JACMEL,HT0211
1063,NORD,HT03,North,PORT-MARGOT,HT0352
1403,NORD-EST,HT04,North-East,CAPOTILLE,HT0422
534,SUD,HT07,South,LES CAYES,HT0711
451,SUD,HT07,South,PORT-SALUT,HT0721
978,NORD-OUEST,HT09,North-West,SAINT-LOUIS DU NORD,HT0921
1316,NORD-EST,HT04,North-East,TERRIER ROUGE,HT0433
903,ARTIBONITE,HT05,Artibonite,SAINT-MARC,HT0531
996,SUD-EST,HT02,South-East,BAINET,HT0221
619,SUD,HT07,South,ILE A VACHE,HT0716
989,OUEST,HT01,West,ARCAHAIE,HT0141
698,NIPPES,HT10,Nippes,ANSE-A-VEAU,HT1021
281,SUD,HT07,South,TIBURON,HT0753
235,GRANDE'ANSE,HT08,Grande'Anse,DAME MARIE,HT0822
403,GRANDE'ANSE,HT08,Grande'Anse,JEREMIE,HT0811
1333,SUD-EST,HT02,South-East,ANSE-A-PITRE,HT0234
1290,SUD-EST,HT02,South-East,THIOTTE,HT0233
535,SUD,HT07,South,SAINT JEAN DU SUD,HT0722
408,SUD,HT07,South,COTEAUX,HT0741
643,NORD-OUEST,HT09,North-West,MOLE SAINT NICOLAS,HT0931
786,SUD,HT07,South,AQUIN,HT0731
1328,OUEST,HT01,West,GANTHIER,HT0133
1358,NORD-EST,HT04,North-East,FERRIER,HT0412
1105,NORD,HT03,North,BAS LIMBE,HT0362
1404,NORD-EST,HT04,North-East,MONT-ORGANISE,HT0423
1369,CENTRE,HT06,Centre,SAVANETTE,HT0633
1402,NORD-EST,HT04,North-East,CAPOTILLE,HT0422
323,SUD,HT07,South,TIBURON,HT0753
576,SUD,HT07,South,ILE A VACHE,HT0716
907,OUEST,HT01,West,ANSE A GALETS,HT0151
948,OUEST,HT01,West,ANSE A GALETS,HT0151
445,GRANDE'ANSE,HT08,Grande'Anse,ROSEAUX,HT0832
726,NORD-OUEST,HT09,North-West,JEAN RABEL,HT0934
694,OUEST,HT01,West,POINTE A RAQUETTE,HT0152
1414,OUEST,HT01,West,FONDS-VERRETTES,HT0135
1407,CENTRE,HT06,Centre,CERCA LA SOURCE,HT0641
571,GRANDE'ANSE,HT08,Grande'Anse,PESTEL,HT0834
899,ARTIBONITE,HT05,Artibonite,GONAIVES,HT0511
780,OUEST,HT01,West,POINTE A RAQUETTE,HT0152
