index,typhoon_name,typhoon_year,event_level,grid_point_id,total_buildings_damaged,total_pop_affected,total_buildings,total_pop,perc_dmg_grid,perc_aff_pop_grid,track_id,wind_speed,track_distance,rainfall_max_6h,rainfall_max_24h,with_coast,coast_length,mean_elev,mean_slope,IWI
0,LILI,2002,ADM1,899,93.69687721942066,250.0,0.0,0.0,0.0,0.0,2002265N10315,0.0,320.2134664367839,0.3666666666666667,0.0916666666666666,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
1,IVAN,2004,ADM2,899,0.0,0.0,0.0,0.0,0.0,0.0,2004247N10332,0.0,415.4714930230383,1.9333333333333331,0.7395833333333334,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
2,JEANNE,2004,ADM1,899,119832.97284775166,315594.0,0.0,0.0,0.0,0.0,2004258N16300,14.298383264844428,110.53965774079084,8.799999999999999,3.239583333333334,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
3,DENNIS,2005,ADM1,899,0.0,0.0,0.0,0.0,0.0,0.0,2005186N12299,9.467717044062343,306.7849997127466,3.133333333333333,1.49375,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
4,EMILY,2005,ADM2,899,0.0,0.0,0.0,0.0,0.0,0.0,2005192N11318,0.0,501.7421089603559,2.783333333333333,1.03125,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
5,STAN,2005,ADM2,899,0.0,0.0,0.0,0.0,0.0,0.0,2005275N19274,0.0,1417.8421708907497,1.4166666666666667,0.3541666666666667,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
6,ALPHA,2005,ADM2,899,0.0,0.0,0.0,0.0,0.0,0.0,2005296N16293,13.081112429020877,15.12354818659105,3.65,1.3520833333333335,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
7,ERNESTO,2006,ADM1,899,5582.477383955352,15000.0,0.0,0.0,0.0,0.0,2006237N13298,8.516329678151441,223.383742410958,2.3166666666666664,1.1375,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
8,DEAN,2007,ADM1,899,1486.4072602088893,3966.0,0.0,0.0,0.0,0.0,2007225N12331,0.0,323.335352381552,0.75,0.31875,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
9,NOEL,2007,ADM2,899,29067.99202652504,108763.0,0.0,0.0,0.0,0.0,2007297N18300,12.36841557775684,18.63763312456288,3.5083333333333333,2.341666666666667,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
10,OLGA,2007,ADM1,899,0.0,0.0,0.0,0.0,0.0,0.0,2007345N18298,11.337061677414988,37.27277348181915,3.8,1.9083333333333328,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
11,FAY,2008,ADM1,899,82.45325195309019,220.0,0.0,0.0,0.0,0.0,2008229N18293,18.75588170827817,72.2150847625771,2.425,1.1145833333333333,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
12,GUSTAV,2008,ADM1,899,27917.691947485604,73006.0,0.0,0.0,0.0,0.0,2008238N13293,12.960845921211671,112.2868618298194,1.5166666666666666,0.4437499999999999,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
13,HANNA,2008,ADM2,899,12125.8549400313,48000.0,0.0,0.0,0.0,0.0,2008241N19303,21.060409551186524,96.7390335247764,26.683333333333334,8.791666666666666,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
14,IKE,2008,ADM2,899,46645.69879646324,125050.0,0.0,0.0,0.0,0.0,2008245N17323,19.997650443670167,172.20499999999612,3.9166666666666665,1.9645833333333331,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
15,TOMAS,2010,ADM2,899,0.0,0.0,0.0,0.0,0.0,0.0,2010302N09306,16.96917857618627,102.17270143200776,9.016666666666667,4.985416666666667,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
16,EMILY,2011,ADM1,899,0.0,0.0,0.0,0.0,0.0,0.0,2011214N15299,9.923231214409462,176.92635636201342,1.525,0.63125,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
17,IRENE,2011,ADM1,899,0.0,0.0,0.0,0.0,0.0,0.0,2011233N15301,17.411127229815726,200.00855387065428,1.6083333333333334,0.6375000000000001,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
18,ISAAC,2012,ADM1,899,3017.6533835637456,8007.0,0.0,0.0,0.0,0.0,2012234N16315,23.613928541070354,72.11773141246388,5.491666666666667,2.7104166666666667,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
19,SANDY,2012,ADM1,899,75743.918391995,201850.0,0.0,0.0,0.0,0.0,2012296N14283,0.0,353.038632689744,3.216666666666667,2.65,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
20,ERIKA,2015,ADM2,899,655.9408881774162,1969.0,0.0,0.0,0.0,0.0,2015237N14315,0.0,514.9699112758351,2.55,1.1125,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
21,MATTHEW,2016,ADM1,899,0.0,0.0,0.0,0.0,0.0,0.0,2016273N13300,22.341555339954255,160.7763033811625,5.183333333333333,3.4375,1,668.7424704285302,0.0081491087391901,0.0047111257446156,33.4
