,id,NAME_2
9,2875,Cakaudrove
9,2874,Cakaudrove
9,3076,Cakaudrove
9,3177,Cakaudrove
9,2975,Cakaudrove
9,2773,Cakaudrove
9,3581,Cakaudrove
9,3379,Cakaudrove
9,3884,Cakaudrove
9,3580,Cakaudrove
9,3479,Cakaudrove
9,3378,Cakaudrove
9,3782,Cakaudrove
9,3883,Cakaudrove
9,4084,Cakaudrove
9,4286,Cakaudrove
9,3278,Cakaudrove
9,2974,Cakaudrove
9,3075,Cakaudrove
9,3277,Cakaudrove
9,3176,Cakaudrove
9,3175,Cakaudrove
9,3074,Cakaudrove
9,3276,Cakaudrove
9,3680,Cakaudrove
9,3377,Cakaudrove
9,4285,Cakaudrove
9,3376,Cakaudrove
9,3477,Cakaudrove
9,3577,Cakaudrove
9,3476,Cakaudrove
9,4384,Cakaudrove
9,4080,Cakaudrove
9,3674,Cakaudrove
9,3573,Cakaudrove
10,2571,Macuata
10,2470,Macuata
10,2672,Macuata
10,2469,Macuata
10,2267,Macuata
10,2570,Macuata
10,2368,Macuata
10,2671,Macuata
10,2670,Macuata
10,2569,Macuata
10,2669,Macuata
10,2568,Macuata
10,2873,Macuata
10,2772,Macuata
10,2872,Macuata
10,2973,Macuata
10,2771,Macuata
10,3275,Macuata
10,3073,Macuata
10,2972,Macuata
10,3174,Macuata
10,3274,Macuata
10,3173,Macuata
10,3072,Macuata
10,3375,Macuata
11,612,Rotuma
11,511,Rotuma
11,611,Rotuma
11,510,Rotuma
11,409,Rotuma
12,969,Ba
12,868,Ba
12,1070,Ba
12,1171,Ba
12,968,Ba
12,867,Ba
12,1069,Ba
12,1170,Ba
12,866,Ba
12,967,Ba
12,1068,Ba
12,1271,Ba
12,1372,Ba
12,1270,Ba
12,1371,Ba
12,1472,Ba
12,1169,Ba
12,765,Ba
12,764,Ba
12,966,Ba
12,1067,Ba
12,1168,Ba
12,865,Ba
12,1471,Ba
12,1370,Ba
12,1269,Ba
12,1268,Ba
12,1470,Ba
12,1369,Ba
12,1167,Ba
12,965,Ba
12,763,Ba
12,1066,Ba
12,1065,Ba
12,1166,Ba
12,560,Ba
12,762,Ba
12,660,Ba
12,1267,Ba
12,1469,Ba
12,1368,Ba
12,1367,Ba
12,1266,Ba
12,659,Ba
12,558,Ba
12,759,Ba
12,355,Ba
12,456,Ba
12,658,Ba
12,859,Ba
12,758,Ba
12,959,Ba
12,858,Ba
12,1259,Ba
12,958,Ba
12,1059,Ba
12,857,Ba
12,1058,Ba
12,957,Ba
12,1057,Ba
13,1178,Nadroga/Navosa
13,1177,Nadroga/Navosa
13,1176,Nadroga/Navosa
13,1174,Nadroga/Navosa
13,1173,Nadroga/Navosa
13,971,Nadroga/Navosa
13,1072,Nadroga/Navosa
13,870,Nadroga/Navosa
13,869,Nadroga/Navosa
13,768,Nadroga/Navosa
13,1071,Nadroga/Navosa
13,970,Nadroga/Navosa
13,1172,Nadroga/Navosa
13,1272,Nadroga/Navosa
13,767,Nadroga/Navosa
13,766,Nadroga/Navosa
13,665,Nadroga/Navosa
13,664,Nadroga/Navosa
13,663,Nadroga/Navosa
13,562,Nadroga/Navosa
13,561,Nadroga/Navosa
14,1672,Ra
14,1773,Ra
14,1874,Ra
14,1873,Ra
14,1772,Ra
14,1771,Ra
14,1973,Ra
14,1770,Ra
14,1570,Ra
14,1671,Ra
14,1670,Ra
14,1569,Ra
14,1669,Ra
